Date,Bronx,Brooklyn,Citywide,Manhattan,Queens,Staten Island,(blank),Grand Total
1/1/13,,,,1,,,,1
1/2/13,,,,1,,,,1
1/4/13,1,1,,,,,,2
1/5/13,,1,,,1,,,2
1/6/13,1,,,,,,,1
1/7/13,,1,,,,,,1
1/8/13,,,,3,,,,3
1/9/13,,,,2,1,,,3
1/10/13,,,,2,,,,2
1/11/13,,1,,2,,,,3
1/12/13,,,,,1,,,1
1/14/13,,1,,1,,,,2
1/15/13,,,,1,,,,1
1/17/13,,,,1,,,,1
1/20/13,,1,,,,,,1
1/21/13,,,,1,,,,1
1/22/13,,1,,,,,,1
1/23/13,,,,1,,,,1
1/24/13,1,,,,1,,,2
1/25/13,,1,,3,,,,4
1/26/13,,,,1,,,,1
1/27/13,1,,,1,1,,,3
1/28/13,,,,2,,,,2
1/29/13,,1,,,2,,,3
1/30/13,1,,,,,,,1
1/31/13,,,,1,2,,,3
2/1/13,,1,,1,1,,,3
2/4/13,1,1,,1,,,,3
2/5/13,,,,1,1,,,2
2/7/13,,,,1,,,,1
2/9/13,,,,,2,,,2
2/10/13,,,,1,1,,,2
2/11/13,,,,2,2,,,4
2/13/13,,1,,,,,,1
2/14/13,,2,,,,,,2
2/15/13,,1,,,1,,,2
2/17/13,,,,2,,,,2
2/19/13,,,,,1,,,1
2/20/13,,1,,1,,,,2
2/21/13,,1,,,,,,1
2/23/13,,2,,3,,,,5
2/24/13,,1,,,1,,,2
2/26/13,,,,,1,,,1
2/27/13,,,,,1,,,1
2/28/13,,1,,,1,,,2
3/1/13,,,,1,,,,1
3/2/13,,1,,,,,,1
3/3/13,,,,,1,,,1
3/4/13,,,,1,,,,1
3/5/13,1,,,,1,,,2
3/6/13,,,,,1,,,1
3/7/13,1,,,1,,,,2
3/9/13,,1,,2,,,,3
3/10/13,1,,,,,,,1
3/11/13,,,,1,,,,1
3/12/13,,,,1,,,,1
3/13/13,,,,2,,,,2
3/14/13,1,,,1,1,,,3
3/15/13,1,,,4,,,,5
3/16/13,2,,,2,,,,4
3/17/13,,,,2,,,,2
3/18/13,,,,1,1,,,2
3/19/13,,,,5,,,,5
3/20/13,,1,,,,,,1
3/21/13,,1,,1,,,,2
3/22/13,,1,,,1,,,2
3/23/13,,1,,1,,,,2
3/26/13,,,,1,,,,1
3/27/13,,1,,1,,1,,3
3/28/13,,1,,,,,,1
3/29/13,1,,,2,1,,,4
3/30/13,,1,,1,,,,2
4/1/13,,,,,2,,,2
4/2/13,,,,,1,,,1
4/3/13,,,,1,,,,1
4/4/13,,1,,,1,,,2
4/5/13,,1,,1,,,,2
4/6/13,1,,,,,,,1
4/7/13,,,,1,,,,1
